Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,labeling,Industry Distribution
서울특별시 서대문구,Q,723,14348,720,15065,721,16189,733,15389,723,14321,764,15911,D,0.18317772072621774
서울특별시 서대문구,R,271,1338,259,1384,280,1374,209,979,206,1048,221,1201,D,0.013826688617446264
서울특별시 서대문구,S,879,3485,834,3383,859,3279,757,3046,684,2986,738,3302,D,0.03801475921299548
서울특별시 마포구,A,0,0,1,1,0,0,1,1,0,0,2,4,I,1.7318491386215347e-05
서울특별시 마포구,B,0,0,0,0,0,0,0,0,1,6,0,0,I,0.0
서울특별시 마포구,C,797,4409,806,4689,772,4616,656,3888,694,4059,702,3734,I,0.016166811709032027
서울특별시 마포구,D,8,425,11,464,10,484,10,474,9,448,9,500,I,0.0021648114232769183
서울특별시 마포구,E,11,210,13,250,15,253,19,268,22,294,24,318,I,0.00137682006520412
서울특별시 마포구,F,858,15784,790,14433,771,13410,687,15003,757,16114,732,15652,I,0.06776725679426066
서울특별시 마포구,G,4637,30246,4546,31328,4757,31291,4402,28772,4343,30285,4219,30128,I,0.130442877120974
서울특별시 마포구,H,697,9628,680,10066,657,8610,639,8709,687,8417,665,7968,I,0.03449843484134097
서울특별시 마포구,I,5375,24938,5386,27124,5616,25506,4132,18767,4178,19336,4435,21283,I,0.09214736304320531
서울특별시 마포구,J,1973,34695,1923,37674,1827,36724,1946,39334,2476,46847,2863,48948,I,0.2119263790931172
서울특별시 마포구,K,457,11280,459,10705,450,10015,456,10014,510,11533,532,10055,I,0.04353435772209883
서울특별시 마포구,L,861,4586,938,4849,1006,4790,993,4316,864,4810,908,4920,I,0.021301744405044877
서울특별시 마포구,M,1885,18927,1989,19728,2003,19636,2073,20229,2397,22399,2416,22185,I,0.09605268285079686
서울특별시 마포구,N,878,36149,872,34220,889,35099,823,30572,909,31440,892,30644,I,0.13267696250979577
서울특별시 마포구,P,1005,12365,1026,12426,1087,11872,1009,11215,938,12302,979,11875,I,0.05141427130282681
서울특별시 마포구,Q,1115,10338,1105,10614,1151,11096,1145,11783,1148,12207,1178,12771,I,0.055293613373339046
서울특별시 마포구,R,552,3405,601,3958,578,3644,466,2424,481,2713,497,2771,I,0.011997384907800682
서울특별시 마포구,S,1412,7387,1425,7783,1404,7825,1120,7235,1117,6948,1153,7211,I,0.031220910346499715
서울특별시 양천구,A,0,0,0,0,0,0,1,26,1,2,0,0,D,0.0
서울특별시 양천구,B,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
